# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a	culture
000049	ok	-3203854.9559968181492513385018	e9da2a3a,cf62ba73,6785aac3,80160000	invariant
000050	ok	-3203854.9559968181492513385018	e9da2a3a,cf62ba73,6785aac3,80160000	en-US
000051	ok	-48466870444188873796420.0286	e91a115e,1d553718,0190e897,80040000	invariant
000052	ok	-48466870444188873796420.0286	e91a115e,1d553718,0190e897,80040000	en-US
000053	ok	-48466870444188873796420.02860	1b04adac,255426f9,0fa915e7,80050000	invariant
000054	ok	-48466870444188873796420.02860	1b04adac,255426f9,0fa915e7,80050000	en-US
000055	ok	4294967295	ffffffff,00000000,00000000,00000000	invariant
000056	ok	4294967295	ffffffff,00000000,00000000,00000000	en-US
000057	ok	4294967296	00000000,00000001,00000000,00000000	invariant
000058	ok	4294967296	00000000,00000001,00000000,00000000	en-US
000059	ok	18446744073709551615	ffffffff,ffffffff,00000000,00000000	invariant
000060	ok	18446744073709551615	ffffffff,ffffffff,00000000,00000000	en-US
000061	ok	18446744073709551616	00000000,00000000,00000001,00000000	invariant
000062	ok	18446744073709551616	00000000,00000000,00000001,00000000	en-US
000063	ok	10000000000000000000000000000	10000000,3e250261,204fce5e,00000000	invariant
000064	ok	10000000000000000000000000000	10000000,3e250261,204fce5e,00000000	en-US
000065	ok	3.14159265358979323846264338	0d750612,e682c320,0103ddcf,001a0000	invariant
000066	ok	3.14159265358979323846264338	0d750612,e682c320,0103ddcf,001a0000	en-US
000067	ok	-1.3356	0000342c,00000000,00000000,80040000	invariant
000068	ok	-1.3356	0000342c,00000000,00000000,80040000	en-US
000069	ok	1.3	0000000d,00000000,00000000,00010000	invariant
000070	ok	1.3	0000000d,00000000,00000000,00010000	en-US
000071	ok	3.6	00000024,00000000,00000000,00010000	invariant
000072	ok	3.6	00000024,00000000,00000000,00010000	en-US
000073	ok	12.345678	00bc614e,00000000,00000000,00060000	invariant
000074	ok	12.345678	00bc614e,00000000,00000000,00060000	en-US
000075	ok	0.0012	0000000c,00000000,00000000,00040000	invariant
000076	ok	0.0012	0000000c,00000000,00000000,00040000	en-US
000077	ok	-0.001234	000004d2,00000000,00000000,80060000	invariant
000078	ok	-0.001234	000004d2,00000000,00000000,80060000	en-US
000079	ok	-0.000012	0000000c,00000000,00000000,80060000	invariant
000080	ok	-0.000012	0000000c,00000000,00000000,80060000	en-US
000081	ok	123456.7890	499602d2,00000000,00000000,00040000	invariant
000082	ok	123456.7890	499602d2,00000000,00000000,00040000	en-US
000083	ok	-123456.7892	499602d4,00000000,00000000,80040000	invariant
000084	ok	-123456.7892	499602d4,00000000,00000000,80040000	en-US
000085	ok	1234.56789	075bcd15,00000000,00000000,00050000	invariant
000086	ok	1234.56789	075bcd15,00000000,00000000,00050000	en-US
000087	ok	45937986975432	c56536c8,000029c7,00000000,00000000	invariant
000088	ok	45937986975432	c56536c8,000029c7,00000000,00000000	en-US
000089	ok	43987453	029f31fd,00000000,00000000,00000000	invariant
000090	ok	43987453	029f31fd,00000000,00000000,00000000	en-US
000091	ok	-0.1	00000001,00000000,00000000,80010000	invariant
000092	ok	-0.1	00000001,00000000,00000000,80010000	en-US
000093	ok	0.0	00000000,00000000,00000000,80010000	invariant
000094	ok	0.0	00000000,00000000,00000000,80010000	en-US
000095	ok	7922816251426433759354395033.5	ffffffff,ffffffff,ffffffff,00010000	invariant
000096	ok	7922816251426433759354395033.5	ffffffff,ffffffff,ffffffff,00010000	en-US
000097	ok	0.01	00000001,00000000,00000000,00020000	invariant
000098	ok	0.01	00000001,00000000,00000000,00020000	en-US
000099	ok	-0.01	00000001,00000000,00000000,80020000	invariant
000100	ok	-0.01	00000001,00000000,00000000,80020000	en-US
000101	ok	0.00	00000000,00000000,00000000,80020000	invariant
000102	ok	0.00	00000000,00000000,00000000,80020000	en-US
000103	ok	792281625142643375935439503.35	ffffffff,ffffffff,ffffffff,00020000	invariant
000104	ok	792281625142643375935439503.35	ffffffff,ffffffff,ffffffff,00020000	en-US
000105	ok	0.001	00000001,00000000,00000000,00030000	invariant
000106	ok	0.001	00000001,00000000,00000000,00030000	en-US
000107	ok	-0.001	00000001,00000000,00000000,80030000	invariant
000108	ok	-0.001	00000001,00000000,00000000,80030000	en-US
000109	ok	0.000	00000000,00000000,00000000,80030000	invariant
000110	ok	0.000	00000000,00000000,00000000,80030000	en-US
000111	ok	79228162514264337593543950.335	ffffffff,ffffffff,ffffffff,00030000	invariant
000112	ok	79228162514264337593543950.335	ffffffff,ffffffff,ffffffff,00030000	en-US
000113	ok	0.0000001	00000001,00000000,00000000,00070000	invariant
000114	ok	0.0000001	00000001,00000000,00000000,00070000	en-US
000115	ok	-0.0000001	00000001,00000000,00000000,80070000	invariant
000116	ok	-0.0000001	00000001,00000000,00000000,80070000	en-US
000117	ok	0.0000000	00000000,00000000,00000000,80070000	invariant
000118	ok	0.0000000	00000000,00000000,00000000,80070000	en-US
000119	ok	7922816251426433759354.3950335	ffffffff,ffffffff,ffffffff,00070000	invariant
000120	ok	7922816251426433759354.3950335	ffffffff,ffffffff,ffffffff,00070000	en-US
000121	ok	0.00000000000001	00000001,00000000,00000000,000e0000	invariant
000122	ok	0.00000000000001	00000001,00000000,00000000,000e0000	en-US
000123	ok	-0.00000000000001	00000001,00000000,00000000,800e0000	invariant
000124	ok	-0.00000000000001	00000001,00000000,00000000,800e0000	en-US
000125	ok	0.00000000000000	00000000,00000000,00000000,800e0000	invariant
000126	ok	0.00000000000000	00000000,00000000,00000000,800e0000	en-US
000127	ok	792281625142643.37593543950335	ffffffff,ffffffff,ffffffff,000e0000	invariant
000128	ok	792281625142643.37593543950335	ffffffff,ffffffff,ffffffff,000e0000	en-US
000129	ok	0.000000000000000000000000001	00000001,00000000,00000000,001b0000	invariant
000130	ok	0.000000000000000000000000001	00000001,00000000,00000000,001b0000	en-US
000131	ok	-0.000000000000000000000000001	00000001,00000000,00000000,801b0000	invariant
000132	ok	-0.000000000000000000000000001	00000001,00000000,00000000,801b0000	en-US
000133	ok	0.000000000000000000000000000	00000000,00000000,00000000,801b0000	invariant
000134	ok	0.000000000000000000000000000	00000000,00000000,00000000,801b0000	en-US
000135	ok	79.228162514264337593543950335	ffffffff,ffffffff,ffffffff,001b0000	invariant
000136	ok	79.228162514264337593543950335	ffffffff,ffffffff,ffffffff,001b0000	en-US
000137	ok	0.0000000000000000000000000000	00000000,00000000,00000000,801c0000	invariant
000138	ok	0.0000000000000000000000000000	00000000,00000000,00000000,801c0000	en-US
000139	ok	7.9228162514264337593543950335	ffffffff,ffffffff,ffffffff,001c0000	invariant
000140	ok	7.9228162514264337593543950335	ffffffff,ffffffff,ffffffff,001c0000	en-US
000141	ok	123456.7891	499602d3,00000000,00000000,00040000	invariant
000142	ok	123456.7891	499602d3,00000000,00000000,00040000	en-US
000143	ok	1123456.7890	9da1e6d2,00000002,00000000,00040000	invariant
000144	ok	1123456.7890	9da1e6d2,00000002,00000000,00040000	en-US
000145	ok	1.0034	00002732,00000000,00000000,00040000	invariant
000146	ok	1.0034	00002732,00000000,00000000,00040000	en-US
