# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a	decimals	mode
000025	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	24	toeven
000026	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	25	toeven
000027	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	26	toeven
000028	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	27	toeven
000029	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	28	toeven
000030	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	0	awayfromzero
000031	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	1	awayfromzero
000032	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	2	awayfromzero
000033	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	3	awayfromzero
000034	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	4	awayfromzero
000035	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	5	awayfromzero
000036	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	6	awayfromzero
000037	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	7	awayfromzero
000038	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	8	awayfromzero
000039	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	9	awayfromzero
000040	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	10	awayfromzero
000041	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	11	awayfromzero
000042	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	12	awayfromzero
000043	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	13	awayfromzero
000044	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	14	awayfromzero
000045	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	15	awayfromzero
000046	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	16	awayfromzero
000047	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	17	awayfromzero
000048	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	18	awayfromzero
000049	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	19	awayfromzero
000050	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	20	awayfromzero
000051	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	21	awayfromzero
000052	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	22	awayfromzero
000053	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	23	awayfromzero
000054	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	24	awayfromzero
000055	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	25	awayfromzero
000056	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	26	awayfromzero
000057	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	27	awayfromzero
000058	ok	00000000,00000000,00000000,00000000	00000000,00000000,00000000,00000000	28	awayfromzero
000059	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	0	toeven
000060	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	1	toeven
000061	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	2	toeven
000062	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	3	toeven
000063	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	4	toeven
000064	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	5	toeven
000065	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	6	toeven
000066	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	7	toeven
000067	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	8	toeven
000068	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	9	toeven
000069	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	10	toeven
000070	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	11	toeven
000071	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	12	toeven
000072	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	13	toeven
000073	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	14	toeven
000074	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	15	toeven
000075	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	16	toeven
000076	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	17	toeven
000077	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	18	toeven
000078	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	19	toeven
000079	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	20	toeven
000080	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	21	toeven
000081	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	22	toeven
000082	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	23	toeven
000083	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	24	toeven
000084	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	25	toeven
000085	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	26	toeven
000086	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	27	toeven
000087	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	28	toeven
000088	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	0	awayfromzero
000089	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	1	awayfromzero
000090	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	2	awayfromzero
000091	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	3	awayfromzero
000092	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	4	awayfromzero
000093	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	5	awayfromzero
000094	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	6	awayfromzero
000095	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	7	awayfromzero
000096	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	8	awayfromzero
000097	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	9	awayfromzero
000098	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	10	awayfromzero
000099	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	11	awayfromzero
000100	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	12	awayfromzero
000101	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	13	awayfromzero
000102	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	14	awayfromzero
000103	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	15	awayfromzero
000104	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	16	awayfromzero
000105	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	17	awayfromzero
000106	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	18	awayfromzero
000107	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	19	awayfromzero
000108	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	20	awayfromzero
000109	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	21	awayfromzero
000110	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	22	awayfromzero
000111	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	23	awayfromzero
000112	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	24	awayfromzero
000113	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	25	awayfromzero
000114	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	26	awayfromzero
000115	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	27	awayfromzero
000116	ok	00000000,00000000,00000000,80000000	00000000,00000000,00000000,80000000	28	awayfromzero
000117	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	0	toeven
000118	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	1	toeven
000119	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	2	toeven
000120	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	3	toeven
000121	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	4	toeven
000122	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	5	toeven
000123	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	6	toeven
000124	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	7	toeven
000125	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	8	toeven
000126	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	9	toeven
000127	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	10	toeven
000128	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	11	toeven
000129	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	12	toeven
000130	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	13	toeven
000131	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	14	toeven
000132	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	15	toeven
000133	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	16	toeven
000134	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	17	toeven
000135	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	18	toeven
000136	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	19	toeven
000137	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	20	toeven
000138	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	21	toeven
000139	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	22	toeven
000140	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	23	toeven
000141	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	24	toeven
000142	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	25	toeven
000143	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	26	toeven
000144	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	27	toeven
000145	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	28	toeven
000146	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	0	awayfromzero
000147	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	1	awayfromzero
000148	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	2	awayfromzero
000149	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	3	awayfromzero
000150	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	4	awayfromzero
000151	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	5	awayfromzero
000152	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	6	awayfromzero
000153	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	7	awayfromzero
000154	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	8	awayfromzero
000155	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	9	awayfromzero
000156	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	10	awayfromzero
000157	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	11	awayfromzero
000158	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	12	awayfromzero
000159	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	13	awayfromzero
000160	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	14	awayfromzero
000161	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	15	awayfromzero
000162	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	16	awayfromzero
000163	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	17	awayfromzero
000164	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	18	awayfromzero
000165	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	19	awayfromzero
000166	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	20	awayfromzero
000167	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	21	awayfromzero
000168	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	22	awayfromzero
000169	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	23	awayfromzero
000170	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	24	awayfromzero
000171	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	25	awayfromzero
000172	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	26	awayfromzero
000173	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	27	awayfromzero
000174	ok	00000001,00000000,00000000,00000000	00000001,00000000,00000000,00000000	28	awayfromzero
000175	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	0	toeven
000176	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	1	toeven
000177	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	2	toeven
000178	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	3	toeven
000179	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	4	toeven
000180	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	5	toeven
000181	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	6	toeven
000182	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	7	toeven
000183	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	8	toeven
000184	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	9	toeven
000185	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	10	toeven
000186	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	11	toeven
000187	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	12	toeven
000188	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	13	toeven
000189	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	14	toeven
000190	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	15	toeven
000191	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	16	toeven
000192	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	17	toeven
000193	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	18	toeven
000194	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	19	toeven
000195	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	20	toeven
000196	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	21	toeven
000197	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	22	toeven
000198	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	23	toeven
000199	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	24	toeven
000200	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	25	toeven
000201	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	26	toeven
000202	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	27	toeven
000203	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	28	toeven
000204	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	0	awayfromzero
000205	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	1	awayfromzero
000206	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	2	awayfromzero
000207	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	3	awayfromzero
000208	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	4	awayfromzero
000209	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	5	awayfromzero
000210	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	6	awayfromzero
000211	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	7	awayfromzero
000212	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	8	awayfromzero
000213	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	9	awayfromzero
000214	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	10	awayfromzero
000215	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	11	awayfromzero
000216	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	12	awayfromzero
000217	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	13	awayfromzero
000218	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	14	awayfromzero
000219	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	15	awayfromzero
000220	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	16	awayfromzero
000221	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	17	awayfromzero
000222	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	18	awayfromzero
000223	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	19	awayfromzero
000224	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	20	awayfromzero
000225	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	21	awayfromzero
000226	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	22	awayfromzero
000227	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	23	awayfromzero
000228	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	24	awayfromzero
000229	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	25	awayfromzero
000230	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	26	awayfromzero
000231	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	27	awayfromzero
000232	ok	00000001,00000000,00000000,80000000	00000001,00000000,00000000,80000000	28	awayfromzero
000233	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	0	toeven
000234	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	1	toeven
000235	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	2	toeven
000236	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	3	toeven
000237	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	4	toeven
000238	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	5	toeven
000239	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	6	toeven
000240	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	7	toeven
000241	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	8	toeven
000242	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	9	toeven
000243	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	10	toeven
000244	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	11	toeven
000245	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	12	toeven
000246	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	13	toeven
000247	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	14	toeven
000248	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	15	toeven
000249	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	16	toeven
000250	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	17	toeven
000251	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	18	toeven
000252	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	19	toeven
000253	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	20	toeven
000254	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	21	toeven
000255	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	22	toeven
000256	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	23	toeven
000257	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	24	toeven
000258	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	25	toeven
000259	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	26	toeven
000260	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	27	toeven
000261	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	28	toeven
000262	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	0	awayfromzero
000263	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	1	awayfromzero
000264	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	2	awayfromzero
000265	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	3	awayfromzero
000266	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	4	awayfromzero
000267	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	5	awayfromzero
000268	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	6	awayfromzero
000269	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	7	awayfromzero
000270	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	8	awayfromzero
000271	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	9	awayfromzero
000272	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	10	awayfromzero
000273	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	11	awayfromzero
000274	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	12	awayfromzero
000275	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	13	awayfromzero
000276	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	14	awayfromzero
000277	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	15	awayfromzero
000278	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	16	awayfromzero
000279	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	17	awayfromzero
000280	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	18	awayfromzero
000281	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	19	awayfromzero
000282	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	20	awayfromzero
000283	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	21	awayfromzero
000284	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	22	awayfromzero
000285	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	23	awayfromzero
000286	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	24	awayfromzero
000287	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	25	awayfromzero
000288	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	26	awayfromzero
000289	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	27	awayfromzero
000290	ok	00000002,00000000,00000000,00000000	00000002,00000000,00000000,00000000	28	awayfromzero
000291	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	0	toeven
000292	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	1	toeven
000293	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	2	toeven
000294	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	3	toeven
000295	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	4	toeven
000296	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	5	toeven
000297	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	6	toeven
000298	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	7	toeven
000299	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	8	toeven
000300	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	9	toeven
000301	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	10	toeven
000302	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	11	toeven
000303	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	12	toeven
000304	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	13	toeven
000305	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	14	toeven
000306	ok	00000002,00000000,00000000,80000000	00000002,00000000,00000000,80000000	15	toeven
