# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a	format	culture
000032	ok	$0	00000000,00000000,00000000,00000000	c0	en-US
000033	ok	\u00a40.0	00000000,00000000,00000000,00000000	c1	invariant
000034	ok	$0.0	00000000,00000000,00000000,00000000	c1	en-US
000035	ok	\u00a40.00	00000000,00000000,00000000,00000000	c2	invariant
000036	ok	$0.00	00000000,00000000,00000000,00000000	c2	en-US
000037	ok	\u00a40.000	00000000,00000000,00000000,00000000	c3	invariant
000038	ok	$0.000	00000000,00000000,00000000,00000000	c3	en-US
000039	ok	\u00a40.0000	00000000,00000000,00000000,00000000	c4	invariant
000040	ok	$0.0000	00000000,00000000,00000000,00000000	c4	en-US
000041	ok	\u00a40.00000	00000000,00000000,00000000,00000000	c5	invariant
000042	ok	$0.00000	00000000,00000000,00000000,00000000	c5	en-US
000043	ok	\u00a40.000000	00000000,00000000,00000000,00000000	c6	invariant
000044	ok	$0.000000	00000000,00000000,00000000,00000000	c6	en-US
000045	ok	\u00a40.0000000	00000000,00000000,00000000,00000000	c7	invariant
000046	ok	$0.0000000	00000000,00000000,00000000,00000000	c7	en-US
000047	ok	\u00a40.00000000	00000000,00000000,00000000,00000000	c8	invariant
000048	ok	$0.00000000	00000000,00000000,00000000,00000000	c8	en-US
000049	ok	\u00a40.000000000	00000000,00000000,00000000,00000000	c9	invariant
000050	ok	$0.000000000	00000000,00000000,00000000,00000000	c9	en-US
000051	ok	\u00a40.000000000000000	00000000,00000000,00000000,00000000	c15	invariant
000052	ok	$0.000000000000000	00000000,00000000,00000000,00000000	c15	en-US
000053	ok	\u00a40.0000000000000000000000000000	00000000,00000000,00000000,00000000	c28	invariant
000054	ok	$0.0000000000000000000000000000	00000000,00000000,00000000,00000000	c28	en-US
000055	ok	\u00a40.000000000000000000000000000000	00000000,00000000,00000000,00000000	c30	invariant
000056	ok	$0.000000000000000000000000000000	00000000,00000000,00000000,00000000	c30	en-US
000057	ok	0.000000E+000	00000000,00000000,00000000,00000000	E	invariant
000058	ok	0.000000E+000	00000000,00000000,00000000,00000000	E	en-US
000059	ok	0E+000	00000000,00000000,00000000,00000000	E0	invariant
000060	ok	0E+000	00000000,00000000,00000000,00000000	E0	en-US
000061	ok	0.0E+000	00000000,00000000,00000000,00000000	E1	invariant
000062	ok	0.0E+000	00000000,00000000,00000000,00000000	E1	en-US
000063	ok	0.00E+000	00000000,00000000,00000000,00000000	E2	invariant
000064	ok	0.00E+000	00000000,00000000,00000000,00000000	E2	en-US
000065	ok	0.000E+000	00000000,00000000,00000000,00000000	E3	invariant
000066	ok	0.000E+000	00000000,00000000,00000000,00000000	E3	en-US
000067	ok	0.0000E+000	00000000,00000000,00000000,00000000	E4	invariant
000068	ok	0.0000E+000	00000000,00000000,00000000,00000000	E4	en-US
000069	ok	0.00000E+000	00000000,00000000,00000000,00000000	E5	invariant
000070	ok	0.00000E+000	00000000,00000000,00000000,00000000	E5	en-US
000071	ok	0.000000E+000	00000000,00000000,00000000,00000000	E6	invariant
000072	ok	0.000000E+000	00000000,00000000,00000000,00000000	E6	en-US
000073	ok	0.0000000E+000	00000000,00000000,00000000,00000000	E7	invariant
000074	ok	0.0000000E+000	00000000,00000000,00000000,00000000	E7	en-US
000075	ok	0.00000000E+000	00000000,00000000,00000000,00000000	E8	invariant
000076	ok	0.00000000E+000	00000000,00000000,00000000,00000000	E8	en-US
000077	ok	0.000000000E+000	00000000,00000000,00000000,00000000	E9	invariant
000078	ok	0.000000000E+000	00000000,00000000,00000000,00000000	E9	en-US
000079	ok	0.000000000000000E+000	00000000,00000000,00000000,00000000	E15	invariant
000080	ok	0.000000000000000E+000	00000000,00000000,00000000,00000000	E15	en-US
000081	ok	0.0000000000000000000000000000E+000	00000000,00000000,00000000,00000000	E28	invariant
000082	ok	0.0000000000000000000000000000E+000	00000000,00000000,00000000,00000000	E28	en-US
000083	ok	0.000000000000000000000000000000E+000	00000000,00000000,00000000,00000000	E30	invariant
000084	ok	0.000000000000000000000000000000E+000	00000000,00000000,00000000,00000000	E30	en-US
000085	ok	0.000000e+000	00000000,00000000,00000000,00000000	e	invariant
000086	ok	0.000000e+000	00000000,00000000,00000000,00000000	e	en-US
000087	ok	0e+000	00000000,00000000,00000000,00000000	e0	invariant
000088	ok	0e+000	00000000,00000000,00000000,00000000	e0	en-US
000089	ok	0.0e+000	00000000,00000000,00000000,00000000	e1	invariant
000090	ok	0.0e+000	00000000,00000000,00000000,00000000	e1	en-US
000091	ok	0.00e+000	00000000,00000000,00000000,00000000	e2	invariant
000092	ok	0.00e+000	00000000,00000000,00000000,00000000	e2	en-US
000093	ok	0.000e+000	00000000,00000000,00000000,00000000	e3	invariant
000094	ok	0.000e+000	00000000,00000000,00000000,00000000	e3	en-US
000095	ok	0.0000e+000	00000000,00000000,00000000,00000000	e4	invariant
000096	ok	0.0000e+000	00000000,00000000,00000000,00000000	e4	en-US
000097	ok	0.00000e+000	00000000,00000000,00000000,00000000	e5	invariant
000098	ok	0.00000e+000	00000000,00000000,00000000,00000000	e5	en-US
000099	ok	0.000000e+000	00000000,00000000,00000000,00000000	e6	invariant
000100	ok	0.000000e+000	00000000,00000000,00000000,00000000	e6	en-US
000101	ok	0.0000000e+000	00000000,00000000,00000000,00000000	e7	invariant
000102	ok	0.0000000e+000	00000000,00000000,00000000,00000000	e7	en-US
000103	ok	0.00000000e+000	00000000,00000000,00000000,00000000	e8	invariant
000104	ok	0.00000000e+000	00000000,00000000,00000000,00000000	e8	en-US
000105	ok	0.000000000e+000	00000000,00000000,00000000,00000000	e9	invariant
000106	ok	0.000000000e+000	00000000,00000000,00000000,00000000	e9	en-US
000107	ok	0.000000000000000e+000	00000000,00000000,00000000,00000000	e15	invariant
000108	ok	0.000000000000000e+000	00000000,00000000,00000000,00000000	e15	en-US
000109	ok	0.0000000000000000000000000000e+000	00000000,00000000,00000000,00000000	e28	invariant
000110	ok	0.0000000000000000000000000000e+000	00000000,00000000,00000000,00000000	e28	en-US
000111	ok	0.000000000000000000000000000000e+000	00000000,00000000,00000000,00000000	e30	invariant
000112	ok	0.000000000000000000000000000000e+000	00000000,00000000,00000000,00000000	e30	en-US
000113	ok	0.00	00000000,00000000,00000000,00000000	F	invariant
000114	ok	0.000	00000000,00000000,00000000,00000000	F	en-US
000115	ok	0	00000000,00000000,00000000,00000000	F0	invariant
000116	ok	0	00000000,00000000,00000000,00000000	F0	en-US
000117	ok	0.0	00000000,00000000,00000000,00000000	F1	invariant
000118	ok	0.0	00000000,00000000,00000000,00000000	F1	en-US
000119	ok	0.00	00000000,00000000,00000000,00000000	F2	invariant
000120	ok	0.00	00000000,00000000,00000000,00000000	F2	en-US
000121	ok	0.000	00000000,00000000,00000000,00000000	F3	invariant
000122	ok	0.000	00000000,00000000,00000000,00000000	F3	en-US
000123	ok	0.0000	00000000,00000000,00000000,00000000	F4	invariant
000124	ok	0.0000	00000000,00000000,00000000,00000000	F4	en-US
000125	ok	0.00000	00000000,00000000,00000000,00000000	F5	invariant
000126	ok	0.00000	00000000,00000000,00000000,00000000	F5	en-US
000127	ok	0.000000	00000000,00000000,00000000,00000000	F6	invariant
000128	ok	0.000000	00000000,00000000,00000000,00000000	F6	en-US
000129	ok	0.0000000	00000000,00000000,00000000,00000000	F7	invariant
000130	ok	0.0000000	00000000,00000000,00000000,00000000	F7	en-US
000131	ok	0.00000000	00000000,00000000,00000000,00000000	F8	invariant
000132	ok	0.00000000	00000000,00000000,00000000,00000000	F8	en-US
000133	ok	0.000000000	00000000,00000000,00000000,00000000	F9	invariant
000134	ok	0.000000000	00000000,00000000,00000000,00000000	F9	en-US
000135	ok	0.000000000000000	00000000,00000000,00000000,00000000	F15	invariant
000136	ok	0.000000000000000	00000000,00000000,00000000,00000000	F15	en-US
000137	ok	0.0000000000000000000000000000	00000000,00000000,00000000,00000000	F28	invariant
000138	ok	0.0000000000000000000000000000	00000000,00000000,00000000,00000000	F28	en-US
000139	ok	0.000000000000000000000000000000	00000000,00000000,00000000,00000000	F30	invariant
000140	ok	0.000000000000000000000000000000	00000000,00000000,00000000,00000000	F30	en-US
000141	ok	0.00	00000000,00000000,00000000,00000000	f	invariant
000142	ok	0.000	00000000,00000000,00000000,00000000	f	en-US
000143	ok	0	00000000,00000000,00000000,00000000	f0	invariant
000144	ok	0	00000000,00000000,00000000,00000000	f0	en-US
000145	ok	0.0	00000000,00000000,00000000,00000000	f1	invariant
000146	ok	0.0	00000000,00000000,00000000,00000000	f1	en-US
000147	ok	0.00	00000000,00000000,00000000,00000000	f2	invariant
000148	ok	0.00	00000000,00000000,00000000,00000000	f2	en-US
000149	ok	0.000	00000000,00000000,00000000,00000000	f3	invariant
000150	ok	0.000	00000000,00000000,00000000,00000000	f3	en-US
000151	ok	0.0000	00000000,00000000,00000000,00000000	f4	invariant
000152	ok	0.0000	00000000,00000000,00000000,00000000	f4	en-US
000153	ok	0.00000	00000000,00000000,00000000,00000000	f5	invariant
000154	ok	0.00000	00000000,00000000,00000000,00000000	f5	en-US
000155	ok	0.000000	00000000,00000000,00000000,00000000	f6	invariant
000156	ok	0.000000	00000000,00000000,00000000,00000000	f6	en-US
000157	ok	0.0000000	00000000,00000000,00000000,00000000	f7	invariant
000158	ok	0.0000000	00000000,00000000,00000000,00000000	f7	en-US
000159	ok	0.00000000	00000000,00000000,00000000,00000000	f8	invariant
000160	ok	0.00000000	00000000,00000000,00000000,00000000	f8	en-US
000161	ok	0.000000000	00000000,00000000,00000000,00000000	f9	invariant
000162	ok	0.000000000	00000000,00000000,00000000,00000000	f9	en-US
000163	ok	0.000000000000000	00000000,00000000,00000000,00000000	f15	invariant
000164	ok	0.000000000000000	00000000,00000000,00000000,00000000	f15	en-US
000165	ok	0.0000000000000000000000000000	00000000,00000000,00000000,00000000	f28	invariant
000166	ok	0.0000000000000000000000000000	00000000,00000000,00000000,00000000	f28	en-US
000167	ok	0.000000000000000000000000000000	00000000,00000000,00000000,00000000	f30	invariant
000168	ok	0.000000000000000000000000000000	00000000,00000000,00000000,00000000	f30	en-US
000169	ok	0	00000000,00000000,00000000,00000000	G	invariant
000170	ok	0	00000000,00000000,00000000,00000000	G	en-US
000171	ok	0	00000000,00000000,00000000,00000000	G0	invariant
000172	ok	0	00000000,00000000,00000000,00000000	G0	en-US
000173	ok	0	00000000,00000000,00000000,00000000	G1	invariant
000174	ok	0	00000000,00000000,00000000,00000000	G1	en-US
000175	ok	0	00000000,00000000,00000000,00000000	G2	invariant
000176	ok	0	00000000,00000000,00000000,00000000	G2	en-US
000177	ok	0	00000000,00000000,00000000,00000000	G3	invariant
000178	ok	0	00000000,00000000,00000000,00000000	G3	en-US
000179	ok	0	00000000,00000000,00000000,00000000	G4	invariant
000180	ok	0	00000000,00000000,00000000,00000000	G4	en-US
000181	ok	0	00000000,00000000,00000000,00000000	G5	invariant
000182	ok	0	00000000,00000000,00000000,00000000	G5	en-US
000183	ok	0	00000000,00000000,00000000,00000000	G6	invariant
000184	ok	0	00000000,00000000,00000000,00000000	G6	en-US
000185	ok	0	00000000,00000000,00000000,00000000	G7	invariant
000186	ok	0	00000000,00000000,00000000,00000000	G7	en-US
000187	ok	0	00000000,00000000,00000000,00000000	G8	invariant
000188	ok	0	00000000,00000000,00000000,00000000	G8	en-US
000189	ok	0	00000000,00000000,00000000,00000000	G9	invariant
000190	ok	0	00000000,00000000,00000000,00000000	G9	en-US
000191	ok	0	00000000,00000000,00000000,00000000	G15	invariant
000192	ok	0	00000000,00000000,00000000,00000000	G15	en-US
000193	ok	0	00000000,00000000,00000000,00000000	G28	invariant
000194	ok	0	00000000,00000000,00000000,00000000	G28	en-US
000195	ok	0	00000000,00000000,00000000,00000000	G30	invariant
000196	ok	0	00000000,00000000,00000000,00000000	G30	en-US
000197	ok	0	00000000,00000000,00000000,00000000	g	invariant
000198	ok	0	00000000,00000000,00000000,00000000	g	en-US
000199	ok	0	00000000,00000000,00000000,00000000	g0	invariant
000200	ok	0	00000000,00000000,00000000,00000000	g0	en-US
000201	ok	0	00000000,00000000,00000000,00000000	g1	invariant
000202	ok	0	00000000,00000000,00000000,00000000	g1	en-US
000203	ok	0	00000000,00000000,00000000,00000000	g2	invariant
000204	ok	0	00000000,00000000,00000000,00000000	g2	en-US
000205	ok	0	00000000,00000000,00000000,00000000	g3	invariant
000206	ok	0	00000000,00000000,00000000,00000000	g3	en-US
000207	ok	0	00000000,00000000,00000000,00000000	g4	invariant
000208	ok	0	00000000,00000000,00000000,00000000	g4	en-US
000209	ok	0	00000000,00000000,00000000,00000000	g5	invariant
000210	ok	0	00000000,00000000,00000000,00000000	g5	en-US
000211	ok	0	00000000,00000000,00000000,00000000	g6	invariant
000212	ok	0	00000000,00000000,00000000,00000000	g6	en-US
000213	ok	0	00000000,00000000,00000000,00000000	g7	invariant
000214	ok	0	00000000,00000000,00000000,00000000	g7	en-US
000215	ok	0	00000000,00000000,00000000,00000000	g8	invariant
000216	ok	0	00000000,00000000,00000000,00000000	g8	en-US
000217	ok	0	00000000,00000000,00000000,00000000	g9	invariant
000218	ok	0	00000000,00000000,00000000,00000000	g9	en-US
000219	ok	0	00000000,00000000,00000000,00000000	g15	invariant
000220	ok	0	00000000,00000000,00000000,00000000	g15	en-US
000221	ok	0	00000000,00000000,00000000,00000000	g28	invariant
000222	ok	0	00000000,00000000,00000000,00000000	g28	en-US
000223	ok	0	00000000,00000000,00000000,00000000	g30	invariant
000224	ok	0	00000000,00000000,00000000,00000000	g30	en-US
000225	ok	0.00	00000000,00000000,00000000,00000000	N	invariant
000226	ok	0.000	00000000,00000000,00000000,00000000	N	en-US
000227	ok	0	00000000,00000000,00000000,00000000	N0	invariant
000228	ok	0	00000000,00000000,00000000,00000000	N0	en-US
000229	ok	0.0	00000000,00000000,00000000,00000000	N1	invariant
000230	ok	0.0	00000000,00000000,00000000,00000000	N1	en-US
000231	ok	0.00	00000000,00000000,00000000,00000000	N2	invariant
000232	ok	0.00	00000000,00000000,00000000,00000000	N2	en-US
000233	ok	0.000	00000000,00000000,00000000,00000000	N3	invariant
000234	ok	0.000	00000000,00000000,00000000,00000000	N3	en-US
000235	ok	0.0000	00000000,00000000,00000000,00000000	N4	invariant
000236	ok	0.0000	00000000,00000000,00000000,00000000	N4	en-US
000237	ok	0.00000	00000000,00000000,00000000,00000000	N5	invariant
000238	ok	0.00000	00000000,00000000,00000000,00000000	N5	en-US
000239	ok	0.000000	00000000,00000000,00000000,00000000	N6	invariant
000240	ok	0.000000	00000000,00000000,00000000,00000000	N6	en-US
000241	ok	0.0000000	00000000,00000000,00000000,00000000	N7	invariant
000242	ok	0.0000000	00000000,00000000,00000000,00000000	N7	en-US
000243	ok	0.00000000	00000000,00000000,00000000,00000000	N8	invariant
000244	ok	0.00000000	00000000,00000000,00000000,00000000	N8	en-US
000245	ok	0.000000000	00000000,00000000,00000000,00000000	N9	invariant
000246	ok	0.000000000	00000000,00000000,00000000,00000000	N9	en-US
000247	ok	0.000000000000000	00000000,00000000,00000000,00000000	N15	invariant
000248	ok	0.000000000000000	00000000,00000000,00000000,00000000	N15	en-US
000249	ok	0.0000000000000000000000000000	00000000,00000000,00000000,00000000	N28	invariant
000250	ok	0.0000000000000000000000000000	00000000,00000000,00000000,00000000	N28	en-US
000251	ok	0.000000000000000000000000000000	00000000,00000000,00000000,00000000	N30	invariant
000252	ok	0.000000000000000000000000000000	00000000,00000000,00000000,00000000	N30	en-US
000253	ok	0.00	00000000,00000000,00000000,00000000	n	invariant
000254	ok	0.000	00000000,00000000,00000000,00000000	n	en-US
000255	ok	0	00000000,00000000,00000000,00000000	n0	invariant
000256	ok	0	00000000,00000000,00000000,00000000	n0	en-US
000257	ok	0.0	00000000,00000000,00000000,00000000	n1	invariant
000258	ok	0.0	00000000,00000000,00000000,00000000	n1	en-US
000259	ok	0.00	00000000,00000000,00000000,00000000	n2	invariant
000260	ok	0.00	00000000,00000000,00000000,00000000	n2	en-US
000261	ok	0.000	00000000,00000000,00000000,00000000	n3	invariant
000262	ok	0.000	00000000,00000000,00000000,00000000	n3	en-US
000263	ok	0.0000	00000000,00000000,00000000,00000000	n4	invariant
000264	ok	0.0000	00000000,00000000,00000000,00000000	n4	en-US
000265	ok	0.00000	00000000,00000000,00000000,00000000	n5	invariant
000266	ok	0.00000	00000000,00000000,00000000,00000000	n5	en-US
000267	ok	0.000000	00000000,00000000,00000000,00000000	n6	invariant
000268	ok	0.000000	00000000,00000000,00000000,00000000	n6	en-US
000269	ok	0.0000000	00000000,00000000,00000000,00000000	n7	invariant
000270	ok	0.0000000	00000000,00000000,00000000,00000000	n7	en-US
000271	ok	0.00000000	00000000,00000000,00000000,00000000	n8	invariant
000272	ok	0.00000000	00000000,00000000,00000000,00000000	n8	en-US
000273	ok	0.000000000	00000000,00000000,00000000,00000000	n9	invariant
000274	ok	0.000000000	00000000,00000000,00000000,00000000	n9	en-US
000275	ok	0.000000000000000	00000000,00000000,00000000,00000000	n15	invariant
000276	ok	0.000000000000000	00000000,00000000,00000000,00000000	n15	en-US
000277	ok	0.0000000000000000000000000000	00000000,00000000,00000000,00000000	n28	invariant
000278	ok	0.0000000000000000000000000000	00000000,00000000,00000000,00000000	n28	en-US
000279	ok	0.000000000000000000000000000000	00000000,00000000,00000000,00000000	n30	invariant
000280	ok	0.000000000000000000000000000000	00000000,00000000,00000000,00000000	n30	en-US
000281	ok	0.00 %	00000000,00000000,00000000,00000000	P	invariant
000282	ok	0.000%	00000000,00000000,00000000,00000000	P	en-US
000283	ok	0 %	00000000,00000000,00000000,00000000	P0	invariant
000284	ok	0%	00000000,00000000,00000000,00000000	P0	en-US
000285	ok	0.0 %	00000000,00000000,00000000,00000000	P1	invariant
000286	ok	0.0%	00000000,00000000,00000000,00000000	P1	en-US
000287	ok	0.00 %	00000000,00000000,00000000,00000000	P2	invariant
000288	ok	0.00%	00000000,00000000,00000000,00000000	P2	en-US
000289	ok	0.000 %	00000000,00000000,00000000,00000000	P3	invariant
000290	ok	0.000%	00000000,00000000,00000000,00000000	P3	en-US
000291	ok	0.0000 %	00000000,00000000,00000000,00000000	P4	invariant
000292	ok	0.0000%	00000000,00000000,00000000,00000000	P4	en-US
000293	ok	0.00000 %	00000000,00000000,00000000,00000000	P5	invariant
000294	ok	0.00000%	00000000,00000000,00000000,00000000	P5	en-US
000295	ok	0.000000 %	00000000,00000000,00000000,00000000	P6	invariant
000296	ok	0.000000%	00000000,00000000,00000000,00000000	P6	en-US
000297	ok	0.0000000 %	00000000,00000000,00000000,00000000	P7	invariant
000298	ok	0.0000000%	00000000,00000000,00000000,00000000	P7	en-US
000299	ok	0.00000000 %	00000000,00000000,00000000,00000000	P8	invariant
000300	ok	0.00000000%	00000000,00000000,00000000,00000000	P8	en-US
000301	ok	0.000000000 %	00000000,00000000,00000000,00000000	P9	invariant
000302	ok	0.000000000%	00000000,00000000,00000000,00000000	P9	en-US
000303	ok	0.000000000000000 %	00000000,00000000,00000000,00000000	P15	invariant
000304	ok	0.000000000000000%	00000000,00000000,00000000,00000000	P15	en-US
000305	ok	0.0000000000000000000000000000 %	00000000,00000000,00000000,00000000	P28	invariant
000306	ok	0.0000000000000000000000000000%	00000000,00000000,00000000,00000000	P28	en-US
000307	ok	0.000000000000000000000000000000 %	00000000,00000000,00000000,00000000	P30	invariant
000308	ok	0.000000000000000000000000000000%	00000000,00000000,00000000,00000000	P30	en-US
000309	ok	0.00 %	00000000,00000000,00000000,00000000	p	invariant
000310	ok	0.000%	00000000,00000000,00000000,00000000	p	en-US
000311	ok	0 %	00000000,00000000,00000000,00000000	p0	invariant
000312	ok	0%	00000000,00000000,00000000,00000000	p0	en-US
000313	ok	0.0 %	00000000,00000000,00000000,00000000	p1	invariant
000314	ok	0.0%	00000000,00000000,00000000,00000000	p1	en-US
000315	ok	0.00 %	00000000,00000000,00000000,00000000	p2	invariant
000316	ok	0.00%	00000000,00000000,00000000,00000000	p2	en-US
000317	ok	0.000 %	00000000,00000000,00000000,00000000	p3	invariant
000318	ok	0.000%	00000000,00000000,00000000,00000000	p3	en-US
000319	ok	0.0000 %	00000000,00000000,00000000,00000000	p4	invariant
000320	ok	0.0000%	00000000,00000000,00000000,00000000	p4	en-US
000321	ok	0.00000 %	00000000,00000000,00000000,00000000	p5	invariant
000322	ok	0.00000%	00000000,00000000,00000000,00000000	p5	en-US
000323	ok	0.000000 %	00000000,00000000,00000000,00000000	p6	invariant
000324	ok	0.000000%	00000000,00000000,00000000,00000000	p6	en-US
000325	ok	0.0000000 %	00000000,00000000,00000000,00000000	p7	invariant
000326	ok	0.0000000%	00000000,00000000,00000000,00000000	p7	en-US
000327	ok	0.00000000 %	00000000,00000000,00000000,00000000	p8	invariant
000328	ok	0.00000000%	00000000,00000000,00000000,00000000	p8	en-US
000329	ok	0.000000000 %	00000000,00000000,00000000,00000000	p9	invariant
000330	ok	0.000000000%	00000000,00000000,00000000,00000000	p9	en-US
000331	ok	0.000000000000000 %	00000000,00000000,00000000,00000000	p15	invariant
000332	ok	0.000000000000000%	00000000,00000000,00000000,00000000	p15	en-US
000333	ok	0.0000000000000000000000000000 %	00000000,00000000,00000000,00000000	p28	invariant
000334	ok	0.0000000000000000000000000000%	00000000,00000000,00000000,00000000	p28	en-US
000335	ok	0.000000000000000000000000000000 %	00000000,00000000,00000000,00000000	p30	invariant
000336	ok	0.000000000000000000000000000000%	00000000,00000000,00000000,00000000	p30	en-US
000337	ok	0	00000000,00000000,00000000,00000000	R	invariant
000338	ok	0	00000000,00000000,00000000,00000000	R	en-US
000339	ok	0	00000000,00000000,00000000,00000000	R0	invariant
000340	ok	0	00000000,00000000,00000000,00000000	R0	en-US
000341	ok	0	00000000,00000000,00000000,00000000	R1	invariant
000342	ok	0	00000000,00000000,00000000,00000000	R1	en-US
000343	ok	0	00000000,00000000,00000000,00000000	R2	invariant
000344	ok	0	00000000,00000000,00000000,00000000	R2	en-US
000345	ok	0	00000000,00000000,00000000,00000000	R3	invariant
000346	ok	0	00000000,00000000,00000000,00000000	R3	en-US
000347	ok	0	00000000,00000000,00000000,00000000	R4	invariant
000348	ok	0	00000000,00000000,00000000,00000000	R4	en-US
000349	ok	0	00000000,00000000,00000000,00000000	R5	invariant
000350	ok	0	00000000,00000000,00000000,00000000	R5	en-US
000351	ok	0	00000000,00000000,00000000,00000000	R6	invariant
000352	ok	0	00000000,00000000,00000000,00000000	R6	en-US
000353	ok	0	00000000,00000000,00000000,00000000	R7	invariant
000354	ok	0	00000000,00000000,00000000,00000000	R7	en-US
000355	ok	0	00000000,00000000,00000000,00000000	R8	invariant
000356	ok	0	00000000,00000000,00000000,00000000	R8	en-US
000357	ok	0	00000000,00000000,00000000,00000000	R9	invariant
000358	ok	0	00000000,00000000,00000000,00000000	R9	en-US
000359	ok	0	00000000,00000000,00000000,00000000	R15	invariant
000360	ok	0	00000000,00000000,00000000,00000000	R15	en-US
000361	ok	0	00000000,00000000,00000000,00000000	R28	invariant
000362	ok	0	00000000,00000000,00000000,00000000	R28	en-US
000363	ok	0	00000000,00000000,00000000,00000000	R30	invariant
000364	ok	0	00000000,00000000,00000000,00000000	R30	en-US
000365	ok	0	00000000,00000000,00000000,00000000	r	invariant
000366	ok	0	00000000,00000000,00000000,00000000	r	en-US
000367	ok	0	00000000,00000000,00000000,00000000	r0	invariant
000368	ok	0	00000000,00000000,00000000,00000000	r0	en-US
000369	ok	0	00000000,00000000,00000000,00000000	r1	invariant
000370	ok	0	00000000,00000000,00000000,00000000	r1	en-US
000371	ok	0	00000000,00000000,00000000,00000000	r2	invariant
000372	ok	0	00000000,00000000,00000000,00000000	r2	en-US
000373	ok	0	00000000,00000000,00000000,00000000	r3	invariant
000374	ok	0	00000000,00000000,00000000,00000000	r3	en-US
000375	ok	0	00000000,00000000,00000000,00000000	r4	invariant
000376	ok	0	00000000,00000000,00000000,00000000	r4	en-US
000377	ok	0	00000000,00000000,00000000,00000000	r5	invariant
000378	ok	0	00000000,00000000,00000000,00000000	r5	en-US
000379	ok	0	00000000,00000000,00000000,00000000	r6	invariant
000380	ok	0	00000000,00000000,00000000,00000000	r6	en-US
000381	ok	0	00000000,00000000,00000000,00000000	r7	invariant
000382	ok	0	00000000,00000000,00000000,00000000	r7	en-US
000383	ok	0	00000000,00000000,00000000,00000000	r8	invariant
000384	ok	0	00000000,00000000,00000000,00000000	r8	en-US
000385	ok	0	00000000,00000000,00000000,00000000	r9	invariant
000386	ok	0	00000000,00000000,00000000,00000000	r9	en-US
000387	ok	0	00000000,00000000,00000000,00000000	r15	invariant
000388	ok	0	00000000,00000000,00000000,00000000	r15	en-US
000389	ok	0	00000000,00000000,00000000,00000000	r28	invariant
000390	ok	0	00000000,00000000,00000000,00000000	r28	en-US
000391	ok	0	00000000,00000000,00000000,00000000	r30	invariant
000392	ok	0	00000000,00000000,00000000,00000000	r30	en-US
000393	format	-	00000000,00000000,00000000,00000000	D	invariant
000394	format	-	00000000,00000000,00000000,00000000	D	en-US
000395	format	-	00000000,00000000,00000000,00000000	d	invariant
000396	format	-	00000000,00000000,00000000,00000000	d	en-US
000397	format	-	00000000,00000000,00000000,00000000	D2	invariant
000398	format	-	00000000,00000000,00000000,00000000	D2	en-US
000399	format	-	00000000,00000000,00000000,00000000	X	invariant
000400	format	-	00000000,00000000,00000000,00000000	X	en-US
