# generated by testdata/gen -- do not edit; run `make testdata`
# id	outcome	result	a	format	culture
000054	ok	#0	00000000,00000000,00000000,00000000	\\#0	en-US
000055	ok	lit0	00000000,00000000,00000000,00000000	'lit'0	invariant
000056	ok	lit0	00000000,00000000,00000000,00000000	'lit'0	en-US
000057	ok	q0	00000000,00000000,00000000,00000000	"q"0	invariant
000058	ok	q0	00000000,00000000,00000000,00000000	"q"0	en-US
000059	ok	0x	00000000,00000000,00000000,00000000	0'x'	invariant
000060	ok	0x	00000000,00000000,00000000,00000000	0'x'	en-US
000061	ok	0 units	00000000,00000000,00000000,00000000	0 'units'	invariant
000062	ok	0 units	00000000,00000000,00000000,00000000	0 'units'	en-US
000063	ok	0.00 %	00000000,00000000,00000000,00000000	0.00 %	invariant
000064	ok	0.00 %	00000000,00000000,00000000,00000000	0.00 %	en-US
000065	ok	$0.00	00000000,00000000,00000000,00000000	$#,##0.00	invariant
000066	ok	$0.00	00000000,00000000,00000000,00000000	$#,##0.00	en-US
000067	ok	0.00 EUR	00000000,00000000,00000000,00000000	#,##0.00 EUR	invariant
000068	ok	0.00 EUR	00000000,00000000,00000000,00000000	#,##0.00 EUR	en-US
000069	ok	0	00000000,00000000,00000000,00000000	\e	invariant
000070	ok	0	00000000,00000000,00000000,00000000	\e	en-US
000071	ok	abc	00000000,00000000,00000000,00000000	abc	invariant
000072	ok	abc	00000000,00000000,00000000,00000000	abc	en-US
000073	ok	0000000000000000000000000000000000	00000000,00000000,00000000,00000000	0000000000000000000000000000000000	invariant
000074	ok	0000000000000000000000000000000000	00000000,00000000,00000000,00000000	0000000000000000000000000000000000	en-US
000075	ok	\e	00000000,00000000,00000000,80000000	#	invariant
000076	ok	\e	00000000,00000000,00000000,80000000	#	en-US
000077	ok	0	00000000,00000000,00000000,80000000	0	invariant
000078	ok	0	00000000,00000000,00000000,80000000	0	en-US
000079	ok	0.0	00000000,00000000,00000000,80000000	0.0	invariant
000080	ok	0.0	00000000,00000000,00000000,80000000	0.0	en-US
000081	ok	0.00	00000000,00000000,00000000,80000000	0.00	invariant
000082	ok	0.00	00000000,00000000,00000000,80000000	0.00	en-US
000083	ok	\e	00000000,00000000,00000000,80000000	#.##	invariant
000084	ok	\e	00000000,00000000,00000000,80000000	#.##	en-US
000085	ok	.00	00000000,00000000,00000000,80000000	#.00	invariant
000086	ok	.00	00000000,00000000,00000000,80000000	#.00	en-US
000087	ok	0	00000000,00000000,00000000,80000000	0.###	invariant
000088	ok	0	00000000,00000000,00000000,80000000	0.###	en-US
000089	ok	\e	00000000,00000000,00000000,80000000	#,#	invariant
000090	ok	\e	00000000,00000000,00000000,80000000	#,#	en-US
000091	ok	0	00000000,00000000,00000000,80000000	#,##0	invariant
000092	ok	0	00000000,00000000,00000000,80000000	#,##0	en-US
000093	ok	0.00	00000000,00000000,00000000,80000000	#,##0.00	invariant
000094	ok	0.00	00000000,00000000,00000000,80000000	#,##0.00	en-US
000095	ok	\e	00000000,00000000,00000000,80000000	#,,	invariant
000096	ok	\e	00000000,00000000,00000000,80000000	#,,	en-US
000097	ok	0	00000000,00000000,00000000,80000000	#,##0,,	invariant
000098	ok	0	00000000,00000000,00000000,80000000	#,##0,,	en-US
000099	ok	0%	00000000,00000000,00000000,80000000	0%	invariant
000100	ok	0%	00000000,00000000,00000000,80000000	0%	en-US
000101	ok	%	00000000,00000000,00000000,80000000	#.##%	invariant
000102	ok	%	00000000,00000000,00000000,80000000	#.##%	en-US
000103	ok	0.0%	00000000,00000000,00000000,80000000	0.0%	invariant
000104	ok	0.0%	00000000,00000000,00000000,80000000	0.0%	en-US
000105	ok	00000	00000000,00000000,00000000,80000000	00000	invariant
000106	ok	00000	00000000,00000000,00000000,80000000	00000	en-US
000107	ok	00	00000000,00000000,00000000,80000000	###00.##	invariant
000108	ok	00	00000000,00000000,00000000,80000000	###00.##	en-US
000109	ok	\e	00000000,00000000,00000000,80000000	.##	invariant
000110	ok	\e	00000000,00000000,00000000,80000000	.##	en-US
000111	ok	\e	00000000,00000000,00000000,80000000	#.	invariant
000112	ok	\e	00000000,00000000,00000000,80000000	#.	en-US
000113	ok	0.0E+0	00000000,00000000,00000000,80000000	0.0E+0	invariant
000114	ok	0.0E+0	00000000,00000000,00000000,80000000	0.0E+0	en-US
000115	ok	0.0E0	00000000,00000000,00000000,80000000	0.0E-0	invariant
000116	ok	0.0E0	00000000,00000000,00000000,80000000	0.0E-0	en-US
000117	ok	0E+00	00000000,00000000,00000000,80000000	#.##E+00	invariant
000118	ok	0E+00	00000000,00000000,00000000,80000000	#.##E+00	en-US
000119	ok	0E0	00000000,00000000,00000000,80000000	0E0	invariant
000120	ok	0E0	00000000,00000000,00000000,80000000	0E0	en-US
000121	ok	0	00000000,00000000,00000000,80000000	0;(0)	invariant
000122	ok	0	00000000,00000000,00000000,80000000	0;(0)	en-US
000123	ok	zero	00000000,00000000,00000000,80000000	0;(0);zero	invariant
000124	ok	zero	00000000,00000000,00000000,80000000	0;(0);zero	en-US
000125	ok	-	00000000,00000000,00000000,80000000	#,##0.00;(#,##0.00);-	invariant
000126	ok	-	00000000,00000000,00000000,80000000	#,##0.00;(#,##0.00);-	en-US
000127	ok	#0	00000000,00000000,00000000,80000000	\\#0	invariant
000128	ok	#0	00000000,00000000,00000000,80000000	\\#0	en-US
000129	ok	lit0	00000000,00000000,00000000,80000000	'lit'0	invariant
000130	ok	lit0	00000000,00000000,00000000,80000000	'lit'0	en-US
000131	ok	q0	00000000,00000000,00000000,80000000	"q"0	invariant
000132	ok	q0	00000000,00000000,00000000,80000000	"q"0	en-US
000133	ok	0x	00000000,00000000,00000000,80000000	0'x'	invariant
000134	ok	0x	00000000,00000000,00000000,80000000	0'x'	en-US
000135	ok	0 units	00000000,00000000,00000000,80000000	0 'units'	invariant
000136	ok	0 units	00000000,00000000,00000000,80000000	0 'units'	en-US
000137	ok	0.00 %	00000000,00000000,00000000,80000000	0.00 %	invariant
000138	ok	0.00 %	00000000,00000000,00000000,80000000	0.00 %	en-US
000139	ok	$0.00	00000000,00000000,00000000,80000000	$#,##0.00	invariant
000140	ok	$0.00	00000000,00000000,00000000,80000000	$#,##0.00	en-US
000141	ok	0.00 EUR	00000000,00000000,00000000,80000000	#,##0.00 EUR	invariant
000142	ok	0.00 EUR	00000000,00000000,00000000,80000000	#,##0.00 EUR	en-US
000143	ok	0	00000000,00000000,00000000,80000000	\e	invariant
000144	ok	0	00000000,00000000,00000000,80000000	\e	en-US
000145	ok	abc	00000000,00000000,00000000,80000000	abc	invariant
000146	ok	abc	00000000,00000000,00000000,80000000	abc	en-US
000147	ok	0000000000000000000000000000000000	00000000,00000000,00000000,80000000	0000000000000000000000000000000000	invariant
000148	ok	0000000000000000000000000000000000	00000000,00000000,00000000,80000000	0000000000000000000000000000000000	en-US
000149	ok	1	00000001,00000000,00000000,00000000	#	invariant
000150	ok	1	00000001,00000000,00000000,00000000	#	en-US
000151	ok	1	00000001,00000000,00000000,00000000	0	invariant
000152	ok	1	00000001,00000000,00000000,00000000	0	en-US
000153	ok	1.0	00000001,00000000,00000000,00000000	0.0	invariant
000154	ok	1.0	00000001,00000000,00000000,00000000	0.0	en-US
000155	ok	1.00	00000001,00000000,00000000,00000000	0.00	invariant
000156	ok	1.00	00000001,00000000,00000000,00000000	0.00	en-US
000157	ok	1	00000001,00000000,00000000,00000000	#.##	invariant
000158	ok	1	00000001,00000000,00000000,00000000	#.##	en-US
000159	ok	1.00	00000001,00000000,00000000,00000000	#.00	invariant
000160	ok	1.00	00000001,00000000,00000000,00000000	#.00	en-US
000161	ok	1	00000001,00000000,00000000,00000000	0.###	invariant
000162	ok	1	00000001,00000000,00000000,00000000	0.###	en-US
000163	ok	1	00000001,00000000,00000000,00000000	#,#	invariant
000164	ok	1	00000001,00000000,00000000,00000000	#,#	en-US
000165	ok	1	00000001,00000000,00000000,00000000	#,##0	invariant
000166	ok	1	00000001,00000000,00000000,00000000	#,##0	en-US
000167	ok	1.00	00000001,00000000,00000000,00000000	#,##0.00	invariant
000168	ok	1.00	00000001,00000000,00000000,00000000	#,##0.00	en-US
000169	ok	\e	00000001,00000000,00000000,00000000	#,,	invariant
000170	ok	\e	00000001,00000000,00000000,00000000	#,,	en-US
000171	ok	0	00000001,00000000,00000000,00000000	#,##0,,	invariant
000172	ok	0	00000001,00000000,00000000,00000000	#,##0,,	en-US
000173	ok	100%	00000001,00000000,00000000,00000000	0%	invariant
000174	ok	100%	00000001,00000000,00000000,00000000	0%	en-US
000175	ok	100%	00000001,00000000,00000000,00000000	#.##%	invariant
000176	ok	100%	00000001,00000000,00000000,00000000	#.##%	en-US
000177	ok	100.0%	00000001,00000000,00000000,00000000	0.0%	invariant
000178	ok	100.0%	00000001,00000000,00000000,00000000	0.0%	en-US
000179	ok	00001	00000001,00000000,00000000,00000000	00000	invariant
000180	ok	00001	00000001,00000000,00000000,00000000	00000	en-US
000181	ok	01	00000001,00000000,00000000,00000000	###00.##	invariant
000182	ok	01	00000001,00000000,00000000,00000000	###00.##	en-US
000183	ok	1	00000001,00000000,00000000,00000000	.##	invariant
000184	ok	1	00000001,00000000,00000000,00000000	.##	en-US
000185	ok	1	00000001,00000000,00000000,00000000	#.	invariant
000186	ok	1	00000001,00000000,00000000,00000000	#.	en-US
000187	ok	1.0E+0	00000001,00000000,00000000,00000000	0.0E+0	invariant
000188	ok	1.0E+0	00000001,00000000,00000000,00000000	0.0E+0	en-US
000189	ok	1.0E0	00000001,00000000,00000000,00000000	0.0E-0	invariant
000190	ok	1.0E0	00000001,00000000,00000000,00000000	0.0E-0	en-US
000191	ok	1E+00	00000001,00000000,00000000,00000000	#.##E+00	invariant
000192	ok	1E+00	00000001,00000000,00000000,00000000	#.##E+00	en-US
000193	ok	1E0	00000001,00000000,00000000,00000000	0E0	invariant
000194	ok	1E0	00000001,00000000,00000000,00000000	0E0	en-US
000195	ok	1	00000001,00000000,00000000,00000000	0;(0)	invariant
000196	ok	1	00000001,00000000,00000000,00000000	0;(0)	en-US
000197	ok	1	00000001,00000000,00000000,00000000	0;(0);zero	invariant
000198	ok	1	00000001,00000000,00000000,00000000	0;(0);zero	en-US
000199	ok	1.00	00000001,00000000,00000000,00000000	#,##0.00;(#,##0.00);-	invariant
000200	ok	1.00	00000001,00000000,00000000,00000000	#,##0.00;(#,##0.00);-	en-US
000201	ok	#1	00000001,00000000,00000000,00000000	\\#0	invariant
000202	ok	#1	00000001,00000000,00000000,00000000	\\#0	en-US
000203	ok	lit1	00000001,00000000,00000000,00000000	'lit'0	invariant
000204	ok	lit1	00000001,00000000,00000000,00000000	'lit'0	en-US
000205	ok	q1	00000001,00000000,00000000,00000000	"q"0	invariant
000206	ok	q1	00000001,00000000,00000000,00000000	"q"0	en-US
000207	ok	1x	00000001,00000000,00000000,00000000	0'x'	invariant
000208	ok	1x	00000001,00000000,00000000,00000000	0'x'	en-US
000209	ok	1 units	00000001,00000000,00000000,00000000	0 'units'	invariant
000210	ok	1 units	00000001,00000000,00000000,00000000	0 'units'	en-US
000211	ok	100.00 %	00000001,00000000,00000000,00000000	0.00 %	invariant
000212	ok	100.00 %	00000001,00000000,00000000,00000000	0.00 %	en-US
000213	ok	$1.00	00000001,00000000,00000000,00000000	$#,##0.00	invariant
000214	ok	$1.00	00000001,00000000,00000000,00000000	$#,##0.00	en-US
000215	ok	1.00 EUR	00000001,00000000,00000000,00000000	#,##0.00 EUR	invariant
000216	ok	1.00 EUR	00000001,00000000,00000000,00000000	#,##0.00 EUR	en-US
000217	ok	1	00000001,00000000,00000000,00000000	\e	invariant
000218	ok	1	00000001,00000000,00000000,00000000	\e	en-US
000219	ok	abc	00000001,00000000,00000000,00000000	abc	invariant
000220	ok	abc	00000001,00000000,00000000,00000000	abc	en-US
000221	ok	0000000000000000000000000000000001	00000001,00000000,00000000,00000000	0000000000000000000000000000000000	invariant
000222	ok	0000000000000000000000000000000001	00000001,00000000,00000000,00000000	0000000000000000000000000000000000	en-US
000223	ok	-1	00000001,00000000,00000000,80000000	#	invariant
000224	ok	-1	00000001,00000000,00000000,80000000	#	en-US
000225	ok	-1	00000001,00000000,00000000,80000000	0	invariant
000226	ok	-1	00000001,00000000,00000000,80000000	0	en-US
000227	ok	-1.0	00000001,00000000,00000000,80000000	0.0	invariant
000228	ok	-1.0	00000001,00000000,00000000,80000000	0.0	en-US
000229	ok	-1.00	00000001,00000000,00000000,80000000	0.00	invariant
000230	ok	-1.00	00000001,00000000,00000000,80000000	0.00	en-US
000231	ok	-1	00000001,00000000,00000000,80000000	#.##	invariant
000232	ok	-1	00000001,00000000,00000000,80000000	#.##	en-US
000233	ok	-1.00	00000001,00000000,00000000,80000000	#.00	invariant
000234	ok	-1.00	00000001,00000000,00000000,80000000	#.00	en-US
000235	ok	-1	00000001,00000000,00000000,80000000	0.###	invariant
000236	ok	-1	00000001,00000000,00000000,80000000	0.###	en-US
000237	ok	-1	00000001,00000000,00000000,80000000	#,#	invariant
000238	ok	-1	00000001,00000000,00000000,80000000	#,#	en-US
000239	ok	-1	00000001,00000000,00000000,80000000	#,##0	invariant
000240	ok	-1	00000001,00000000,00000000,80000000	#,##0	en-US
000241	ok	-1.00	00000001,00000000,00000000,80000000	#,##0.00	invariant
000242	ok	-1.00	00000001,00000000,00000000,80000000	#,##0.00	en-US
000243	ok	\e	00000001,00000000,00000000,80000000	#,,	invariant
000244	ok	\e	00000001,00000000,00000000,80000000	#,,	en-US
000245	ok	0	00000001,00000000,00000000,80000000	#,##0,,	invariant
000246	ok	0	00000001,00000000,00000000,80000000	#,##0,,	en-US
000247	ok	-100%	00000001,00000000,00000000,80000000	0%	invariant
000248	ok	-100%	00000001,00000000,00000000,80000000	0%	en-US
000249	ok	-100%	00000001,00000000,00000000,80000000	#.##%	invariant
000250	ok	-100%	00000001,00000000,00000000,80000000	#.##%	en-US
000251	ok	-100.0%	00000001,00000000,00000000,80000000	0.0%	invariant
000252	ok	-100.0%	00000001,00000000,00000000,80000000	0.0%	en-US
000253	ok	-00001	00000001,00000000,00000000,80000000	00000	invariant
000254	ok	-00001	00000001,00000000,00000000,80000000	00000	en-US
000255	ok	-01	00000001,00000000,00000000,80000000	###00.##	invariant
000256	ok	-01	00000001,00000000,00000000,80000000	###00.##	en-US
000257	ok	-1	00000001,00000000,00000000,80000000	.##	invariant
000258	ok	-1	00000001,00000000,00000000,80000000	.##	en-US
000259	ok	-1	00000001,00000000,00000000,80000000	#.	invariant
000260	ok	-1	00000001,00000000,00000000,80000000	#.	en-US
000261	ok	-1.0E+0	00000001,00000000,00000000,80000000	0.0E+0	invariant
000262	ok	-1.0E+0	00000001,00000000,00000000,80000000	0.0E+0	en-US
000263	ok	-1.0E0	00000001,00000000,00000000,80000000	0.0E-0	invariant
000264	ok	-1.0E0	00000001,00000000,00000000,80000000	0.0E-0	en-US
000265	ok	-1E+00	00000001,00000000,00000000,80000000	#.##E+00	invariant
000266	ok	-1E+00	00000001,00000000,00000000,80000000	#.##E+00	en-US
000267	ok	-1E0	00000001,00000000,00000000,80000000	0E0	invariant
000268	ok	-1E0	00000001,00000000,00000000,80000000	0E0	en-US
000269	ok	(1)	00000001,00000000,00000000,80000000	0;(0)	invariant
000270	ok	(1)	00000001,00000000,00000000,80000000	0;(0)	en-US
000271	ok	(1)	00000001,00000000,00000000,80000000	0;(0);zero	invariant
000272	ok	(1)	00000001,00000000,00000000,80000000	0;(0);zero	en-US
000273	ok	(1.00)	00000001,00000000,00000000,80000000	#,##0.00;(#,##0.00);-	invariant
000274	ok	(1.00)	00000001,00000000,00000000,80000000	#,##0.00;(#,##0.00);-	en-US
000275	ok	-#1	00000001,00000000,00000000,80000000	\\#0	invariant
000276	ok	-#1	00000001,00000000,00000000,80000000	\\#0	en-US
000277	ok	-lit1	00000001,00000000,00000000,80000000	'lit'0	invariant
000278	ok	-lit1	00000001,00000000,00000000,80000000	'lit'0	en-US
000279	ok	-q1	00000001,00000000,00000000,80000000	"q"0	invariant
000280	ok	-q1	00000001,00000000,00000000,80000000	"q"0	en-US
000281	ok	-1x	00000001,00000000,00000000,80000000	0'x'	invariant
000282	ok	-1x	00000001,00000000,00000000,80000000	0'x'	en-US
000283	ok	-1 units	00000001,00000000,00000000,80000000	0 'units'	invariant
000284	ok	-1 units	00000001,00000000,00000000,80000000	0 'units'	en-US
000285	ok	-100.00 %	00000001,00000000,00000000,80000000	0.00 %	invariant
000286	ok	-100.00 %	00000001,00000000,00000000,80000000	0.00 %	en-US
000287	ok	-$1.00	00000001,00000000,00000000,80000000	$#,##0.00	invariant
000288	ok	-$1.00	00000001,00000000,00000000,80000000	$#,##0.00	en-US
000289	ok	-1.00 EUR	00000001,00000000,00000000,80000000	#,##0.00 EUR	invariant
000290	ok	-1.00 EUR	00000001,00000000,00000000,80000000	#,##0.00 EUR	en-US
000291	ok	-1	00000001,00000000,00000000,80000000	\e	invariant
000292	ok	-1	00000001,00000000,00000000,80000000	\e	en-US
000293	ok	-abc	00000001,00000000,00000000,80000000	abc	invariant
000294	ok	-abc	00000001,00000000,00000000,80000000	abc	en-US
000295	ok	-0000000000000000000000000000000001	00000001,00000000,00000000,80000000	0000000000000000000000000000000000	invariant
000296	ok	-0000000000000000000000000000000001	00000001,00000000,00000000,80000000	0000000000000000000000000000000000	en-US
000297	ok	2	00000002,00000000,00000000,00000000	#	invariant
000298	ok	2	00000002,00000000,00000000,00000000	#	en-US
000299	ok	2	00000002,00000000,00000000,00000000	0	invariant
000300	ok	2	00000002,00000000,00000000,00000000	0	en-US
000301	ok	2.0	00000002,00000000,00000000,00000000	0.0	invariant
000302	ok	2.0	00000002,00000000,00000000,00000000	0.0	en-US
000303	ok	2.00	00000002,00000000,00000000,00000000	0.00	invariant
000304	ok	2.00	00000002,00000000,00000000,00000000	0.00	en-US
000305	ok	2	00000002,00000000,00000000,00000000	#.##	invariant
000306	ok	2	00000002,00000000,00000000,00000000	#.##	en-US
000307	ok	2.00	00000002,00000000,00000000,00000000	#.00	invariant
000308	ok	2.00	00000002,00000000,00000000,00000000	#.00	en-US
000309	ok	2	00000002,00000000,00000000,00000000	0.###	invariant
000310	ok	2	00000002,00000000,00000000,00000000	0.###	en-US
000311	ok	2	00000002,00000000,00000000,00000000	#,#	invariant
000312	ok	2	00000002,00000000,00000000,00000000	#,#	en-US
000313	ok	2	00000002,00000000,00000000,00000000	#,##0	invariant
000314	ok	2	00000002,00000000,00000000,00000000	#,##0	en-US
000315	ok	2.00	00000002,00000000,00000000,00000000	#,##0.00	invariant
000316	ok	2.00	00000002,00000000,00000000,00000000	#,##0.00	en-US
000317	ok	\e	00000002,00000000,00000000,00000000	#,,	invariant
000318	ok	\e	00000002,00000000,00000000,00000000	#,,	en-US
000319	ok	0	00000002,00000000,00000000,00000000	#,##0,,	invariant
000320	ok	0	00000002,00000000,00000000,00000000	#,##0,,	en-US
000321	ok	200%	00000002,00000000,00000000,00000000	0%	invariant
000322	ok	200%	00000002,00000000,00000000,00000000	0%	en-US
000323	ok	200%	00000002,00000000,00000000,00000000	#.##%	invariant
000324	ok	200%	00000002,00000000,00000000,00000000	#.##%	en-US
000325	ok	200.0%	00000002,00000000,00000000,00000000	0.0%	invariant
000326	ok	200.0%	00000002,00000000,00000000,00000000	0.0%	en-US
000327	ok	00002	00000002,00000000,00000000,00000000	00000	invariant
000328	ok	00002	00000002,00000000,00000000,00000000	00000	en-US
000329	ok	02	00000002,00000000,00000000,00000000	###00.##	invariant
000330	ok	02	00000002,00000000,00000000,00000000	###00.##	en-US
000331	ok	2	00000002,00000000,00000000,00000000	.##	invariant
000332	ok	2	00000002,00000000,00000000,00000000	.##	en-US
000333	ok	2	00000002,00000000,00000000,00000000	#.	invariant
000334	ok	2	00000002,00000000,00000000,00000000	#.	en-US
000335	ok	2.0E+0	00000002,00000000,00000000,00000000	0.0E+0	invariant
000336	ok	2.0E+0	00000002,00000000,00000000,00000000	0.0E+0	en-US
000337	ok	2.0E0	00000002,00000000,00000000,00000000	0.0E-0	invariant
000338	ok	2.0E0	00000002,00000000,00000000,00000000	0.0E-0	en-US
000339	ok	2E+00	00000002,00000000,00000000,00000000	#.##E+00	invariant
000340	ok	2E+00	00000002,00000000,00000000,00000000	#.##E+00	en-US
000341	ok	2E0	00000002,00000000,00000000,00000000	0E0	invariant
000342	ok	2E0	00000002,00000000,00000000,00000000	0E0	en-US
000343	ok	2	00000002,00000000,00000000,00000000	0;(0)	invariant
000344	ok	2	00000002,00000000,00000000,00000000	0;(0)	en-US
000345	ok	2	00000002,00000000,00000000,00000000	0;(0);zero	invariant
000346	ok	2	00000002,00000000,00000000,00000000	0;(0);zero	en-US
000347	ok	2.00	00000002,00000000,00000000,00000000	#,##0.00;(#,##0.00);-	invariant
000348	ok	2.00	00000002,00000000,00000000,00000000	#,##0.00;(#,##0.00);-	en-US
000349	ok	#2	00000002,00000000,00000000,00000000	\\#0	invariant
000350	ok	#2	00000002,00000000,00000000,00000000	\\#0	en-US
000351	ok	lit2	00000002,00000000,00000000,00000000	'lit'0	invariant
000352	ok	lit2	00000002,00000000,00000000,00000000	'lit'0	en-US
000353	ok	q2	00000002,00000000,00000000,00000000	"q"0	invariant
000354	ok	q2	00000002,00000000,00000000,00000000	"q"0	en-US
000355	ok	2x	00000002,00000000,00000000,00000000	0'x'	invariant
000356	ok	2x	00000002,00000000,00000000,00000000	0'x'	en-US
000357	ok	2 units	00000002,00000000,00000000,00000000	0 'units'	invariant
000358	ok	2 units	00000002,00000000,00000000,00000000	0 'units'	en-US
000359	ok	200.00 %	00000002,00000000,00000000,00000000	0.00 %	invariant
000360	ok	200.00 %	00000002,00000000,00000000,00000000	0.00 %	en-US
000361	ok	$2.00	00000002,00000000,00000000,00000000	$#,##0.00	invariant
000362	ok	$2.00	00000002,00000000,00000000,00000000	$#,##0.00	en-US
000363	ok	2.00 EUR	00000002,00000000,00000000,00000000	#,##0.00 EUR	invariant
000364	ok	2.00 EUR	00000002,00000000,00000000,00000000	#,##0.00 EUR	en-US
000365	ok	2	00000002,00000000,00000000,00000000	\e	invariant
000366	ok	2	00000002,00000000,00000000,00000000	\e	en-US
000367	ok	abc	00000002,00000000,00000000,00000000	abc	invariant
000368	ok	abc	00000002,00000000,00000000,00000000	abc	en-US
000369	ok	0000000000000000000000000000000002	00000002,00000000,00000000,00000000	0000000000000000000000000000000000	invariant
000370	ok	0000000000000000000000000000000002	00000002,00000000,00000000,00000000	0000000000000000000000000000000000	en-US
000371	ok	-2	00000002,00000000,00000000,80000000	#	invariant
000372	ok	-2	00000002,00000000,00000000,80000000	#	en-US
000373	ok	-2	00000002,00000000,00000000,80000000	0	invariant
000374	ok	-2	00000002,00000000,00000000,80000000	0	en-US
000375	ok	-2.0	00000002,00000000,00000000,80000000	0.0	invariant
000376	ok	-2.0	00000002,00000000,00000000,80000000	0.0	en-US
000377	ok	-2.00	00000002,00000000,00000000,80000000	0.00	invariant
000378	ok	-2.00	00000002,00000000,00000000,80000000	0.00	en-US
000379	ok	-2	00000002,00000000,00000000,80000000	#.##	invariant
000380	ok	-2	00000002,00000000,00000000,80000000	#.##	en-US
000381	ok	-2.00	00000002,00000000,00000000,80000000	#.00	invariant
000382	ok	-2.00	00000002,00000000,00000000,80000000	#.00	en-US
000383	ok	-2	00000002,00000000,00000000,80000000	0.###	invariant
000384	ok	-2	00000002,00000000,00000000,80000000	0.###	en-US
000385	ok	-2	00000002,00000000,00000000,80000000	#,#	invariant
000386	ok	-2	00000002,00000000,00000000,80000000	#,#	en-US
000387	ok	-2	00000002,00000000,00000000,80000000	#,##0	invariant
000388	ok	-2	00000002,00000000,00000000,80000000	#,##0	en-US
000389	ok	-2.00	00000002,00000000,00000000,80000000	#,##0.00	invariant
000390	ok	-2.00	00000002,00000000,00000000,80000000	#,##0.00	en-US
000391	ok	\e	00000002,00000000,00000000,80000000	#,,	invariant
000392	ok	\e	00000002,00000000,00000000,80000000	#,,	en-US
000393	ok	0	00000002,00000000,00000000,80000000	#,##0,,	invariant
